epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2100.74,1.1064,0.72115,1.0609,0.886,0.6213,0.71308,0.48466,1.13944,0.66765,1.07505,0.000212349,0.000212349,0.000212349
88,2125,1.09339,0.71406,1.05834,0.92236,0.59077,0.71666,0.48444,1.12014,0.67333,1.07086,0.000198202,0.000198202,0.000198202
89,2149.22,1.09354,0.70911,1.0608,0.90994,0.59801,0.70746,0.48638,1.13298,0.6672,1.07172,0.000184055,0.000184055,0.000184055
90,2173.51,1.09875,0.71561,1.06005,0.91349,0.62096,0.71573,0.48411,1.1398,0.67083,1.077,0.000169908,0.000169908,0.000169908
91,2199.42,1.07188,0.68224,1.03633,0.90093,0.61553,0.71188,0.47642,1.17056,0.68135,1.08707,0.000155761,0.000155761,0.000155761
92,2223.18,1.03904,0.65544,1.02592,0.92142,0.61518,0.71229,0.48279,1.15045,0.67219,1.08403,0.000141614,0.000141614,0.000141614
93,2246.84,1.02656,0.64668,1.02202,0.92481,0.6117,0.71056,0.48454,1.13186,0.6736,1.07487,0.000127467,0.000127467,0.000127467
94,2270.55,1.01946,0.64764,1.01902,0.93673,0.60025,0.71338,0.48849,1.1315,0.66726,1.07927,0.00011332,0.00011332,0.00011332
95,2294.4,1.00934,0.63721,1.01739,0.92002,0.61286,0.7121,0.48623,1.13232,0.66322,1.07876,9.91726e-05,9.91726e-05,9.91726e-05
96,2318.15,1.00575,0.63316,1.01136,0.90245,0.62025,0.7199,0.48776,1.14258,0.66485,1.08287,8.50255e-05,8.50255e-05,8.50255e-05
97,2341.89,1.00806,0.63513,1.01354,0.86946,0.63805,0.71606,0.49229,1.13006,0.66296,1.07827,7.08784e-05,7.08784e-05,7.08784e-05
98,2365.59,1.00267,0.62583,1.0157,0.88395,0.62931,0.71607,0.49115,1.13871,0.6722,1.08,5.67313e-05,5.67313e-05,5.67313e-05
99,2389.32,0.99426,0.62528,1.00859,0.92536,0.60666,0.71643,0.48974,1.13604,0.67037,1.08042,4.25842e-05,4.25842e-05,4.25842e-05
100,2413.04,0.99642,0.62479,1.00896,0.87025,0.63883,0.71782,0.48884,1.13777,0.66993,1.07989,2.84371e-05,2.84371e-05,2.84371e-05
